user_id,session_id,timestamp,page_views,traffic_source,duration,bounce_rate,conversion,device_type,source_medium
39,39,8/20/2021,927,referral,2231,66.21,false,mobile,direct/none
40,40,5/18/2021,700,direct,2390,63.55,true,mobile,direct/none
41,41,9/13/2021,765,direct,3295,81.81,true,desktop,facebook/referral
42,42,7/5/2021,911,referral,3487,79.72,false,tablet,google/cpc
43,43,5/12/2021,914,direct,1182,45.82,true,mobile,facebook/referral
44,44,6/27/2021,867,organic,2698,47.95,false,desktop,facebook/referral
45,45,3/25/2021,786,organic,1035,50.77,true,tablet,google/cpc
46,46,6/4/2021,882,direct,184,47.96,false,mobile,facebook/referral
47,47,2/4/2021,897,organic,1273,39.01,true,tablet,direct/none
48,48,7/2/2021,49,referral,191,64.5,false,tablet,google/cpc
49,49,2/14/2021,334,organic,2234,66.56,true,tablet,direct/none
50,50,10/21/2021,6,referral,1721,18.13,false,desktop,facebook/referral
51,51,8/16/2021,810,referral,3381,84.87,false,desktop,google/cpc
52,52,3/6/2021,720,referral,3166,34.62,false,mobile,facebook/referral
53,53,8/29/2021,764,referral,2402,58.92,true,mobile,google/cpc
54,54,4/16/2021,257,direct,3281,87.21,true,desktop,facebook/referral
55,55,5/26/2021,399,direct,3087,50.39,false,desktop,direct/none
56,56,7/12/2021,939,organic,2326,44.39,false,mobile,facebook/referral
57,57,12/30/2021,819,organic,2147,20.93,true,tablet,direct/none
58,58,4/18/2021,870,organic,271,24.67,false,tablet,facebook/referral
59,59,7/25/2021,243,organic,14,6.66,true,mobile,facebook/referral
60,60,9/1/2021,671,referral,3512,43.28,true,mobile,facebook/referral
61,61,3/25/2021,812,referral,850,33.09,false,mobile,facebook/referral
62,62,11/26/2021,321,referral,1006,67.0,true,tablet,facebook/referral
63,63,5/2/2021,130,direct,306,93.68,false,tablet,direct/none
64,64,3/2/2021,88,referral,1533,23.2,false,desktop,direct/none
65,65,9/2/2021,307,direct,3115,27.88,false,mobile,google/cpc
66,66,1/26/2021,914,organic,1321,72.27,false,desktop,google/cpc
67,67,7/1/2021,761,organic,1010,35.12,false,mobile,direct/none
68,68,1/20/2021,712,organic,1155,69.45,true,tablet,facebook/referral
69,69,11/13/2021,441,referral,2390,53.64,false,tablet,direct/none
70,70,6/6/2021,825,referral,3291,89.1,false,desktop,google/cpc
71,71,2/4/2021,405,organic,3437,74.29,false,mobile,direct/none
72,72,7/5/2021,777,direct,1387,4.07,true,desktop,facebook/referral
73,73,9/10/2021,843,organic,1031,39.19,false,desktop,google/cpc
74,74,5/15/2021,46,organic,2924,69.21,false,tablet,direct/none
75,75,1/15/2021,453,organic,2773,68.59,true,desktop,facebook/referral
76,76,10/27/2021,294,referral,798,94.28,true,tablet,direct/none
77,77,7/21/2021,551,organic,1395,79.75,true,mobile,facebook/referral
78,78,7/24/2021,433,organic,1853,65.85,true,mobile,direct/none
79,79,9/23/2021,989,organic,2705,2.93,true,tablet,google/cpc
80,80,12/11/2021,659,organic,1735,41.4,false,tablet,facebook/referral
81,81,8/26/2021,956,organic,3121,0.69,true,desktop,direct/none
82,82,12/9/2021,541,referral,1676,10.86,true,desktop,direct/none
83,83,10/31/2021,168,direct,1324,75.38,true,tablet,direct/none
84,84,6/16/2021,674,organic,190,90.92,false,desktop,facebook/referral
85,85,4/28/2021,237,organic,1094,75.01,false,mobile,google/cpc
86,86,3/27/2021,995,direct,3354,39.01,true,tablet,direct/none
87,87,4/30/2021,520,direct,874,20.34,false,tablet,facebook/referral
88,88,11/25/2021,530,organic,457,29.11,true,desktop,google/cpc
89,89,12/22/2021,449,organic,1403,0.89,false,desktop,facebook/referral
90,90,2/10/2021,991,referral,556,29.01,false,mobile,direct/none
91,91,11/17/2021,473,organic,2541,2.86,true,mobile,facebook/referral
92,92,3/11/2021,368,organic,1312,46.28,false,mobile,google/cpc
93,93,6/8/2021,905,direct,3276,15.7,true,tablet,facebook/referral
94,94,7/24/2021,81,referral,3135,43.53,true,desktop,google/cpc
95,95,8/27/2021,407,direct,68,1.01,true,tablet,google/cpc
96,96,5/6/2021,51,referral,560,92.24,true,tablet,facebook/referral
97,97,6/3/2021,534,referral,2811,56.95,false,desktop,facebook/referral
98,98,9/23/2021,363,referral,3487,1.13,false,desktop,facebook/referral
99,99,1/9/2021,189,direct,510,86.08,true,mobile,direct/none
100,100,8/28/2021,173,referral,738,75.93,false,mobile,google/cpc
101,101,10/31/2021,929,direct,566,38.95,false,mobile,facebook/referral
102,102,2/17/2021,459,direct,1981,68.6,false,tablet,direct/none
103,103,11/27/2021,481,direct,927,90.53,true,mobile,facebook/referral
104,104,5/22/2021,46,organic,2067,97.0,true,desktop,facebook/referral
105,105,7/2/2021,206,organic,1757,95.75,true,desktop,facebook/referral
106,106,10/6/2021,692,direct,1679,65.57,true,mobile,direct/none
107,107,10/2/2021,857,organic,19,85.81,false,desktop,direct/none
108,108,1/17/2021,87,referral,3565,50.43,false,mobile,direct/none
109,109,7/21/2021,273,organic,2180,22.83,false,mobile,google/cpc
110,110,5/2/2021,613,referral,2229,55.35,true,tablet,facebook/referral
111,111,6/6/2021,121,direct,818,86.5,true,mobile,facebook/referral
112,112,3/30/2021,412,referral,601,77.5,true,desktop,direct/none
113,113,8/31/2021,25,referral,3142,69.98,false,desktop,facebook/referral
114,114,3/17/2021,804,organic,1602,50.28,false,mobile,facebook/referral
115,115,3/4/2021,699,referral,1288,76.91,true,desktop,google/cpc
116,116,6/24/2021,349,referral,2746,62.13,false,mobile,google/cpc
117,117,10/7/2021,801,organic,2249,75.4,false,mobile,direct/none
118,118,3/29/2021,461,referral,447,25.97,true,mobile,facebook/referral
119,119,3/4/2021,820,organic,367,62.2,false,mobile,facebook/referral
120,120,5/10/2021,799,referral,1090,30.32,true,mobile,direct/none
121,121,9/19/2021,137,organic,2932,74.85,true,desktop,direct/none
122,122,11/21/2021,798,organic,152,13.95,true,tablet,google/cpc
123,123,12/25/2021,210,organic,1559,28.66,false,tablet,facebook/referral
124,124,7/9/2021,972,direct,1241,42.14,false,desktop,direct/none
125,125,4/19/2021,243,organic,3215,61.52,false,mobile,facebook/referral
126,126,2/21/2021,799,direct,3101,24.73,false,desktop,direct/none
127,127,8/5/2021,422,direct,2810,29.96,false,desktop,google/cpc
128,128,10/17/2021,124,referral,2032,23.03,true,desktop,facebook/referral
129,129,1/27/2021,532,direct,2463,19.93,true,mobile,direct/none
130,130,8/26/2021,520,referral,711,67.86,true,mobile,facebook/referral
131,131,11/3/2021,213,referral,2655,54.75,true,desktop,direct/none
132,132,6/5/2021,572,direct,1032,81.99,true,mobile,facebook/referral
133,133,12/24/2021,835,direct,1794,41.61,false,mobile,google/cpc
134,134,4/13/2021,115,organic,1082,23.6,false,desktop,direct/none
135,135,10/9/2021,358,direct,747,95.73,true,tablet,facebook/referral
136,136,9/15/2021,495,referral,3433,57.93,true,tablet,facebook/referral
137,137,9/29/2021,904,referral,891,34.25,false,tablet,direct/none
138,138,7/16/2021,658,direct,8,12.47,true,mobile,facebook/referral
139,139,1/17/2021,508,referral,2259,71.64,true,mobile,direct/none
140,140,5/6/2021,36,referral,558,54.64,true,tablet,direct/none
141,141,2/9/2021,394,direct,1445,85.8,true,mobile,facebook/referral
142,142,5/6/2021,952,organic,971,7.78,true,tablet,google/cpc
143,143,6/10/2021,49,referral,1623,36.76,true,mobile,direct/none
144,144,3/8/2021,555,referral,350,27.76,true,mobile,google/cpc
145,145,9/7/2021,340,direct,140,88.71,true,tablet,google/cpc
146,146,1/12/2021,638,direct,519,90.2,false,mobile,direct/none
147,147,9/27/2021,147,referral,474,36.7,true,mobile,facebook/referral
148,148,1/2/2021,581,direct,2785,24.43,true,tablet,direct/none
149,149,9/1/2021,651,direct,1996,45.74,false,mobile,google/cpc
150,150,5/5/2021,672,referral,108,18.54,true,tablet,direct/none
151,151,12/7/2021,53,referral,1503,8.57,true,desktop,direct/none
152,152,11/21/2021,488,direct,1111,77.54,false,mobile,google/cpc
153,153,10/26/2021,353,referral,2066,59.9,false,mobile,direct/none
154,154,8/14/2021,480,referral,502,2.63,false,desktop,google/cpc
155,155,3/15/2021,497,referral,225,98.51,true,tablet,direct/none
156,156,5/13/2021,305,organic,1323,98.5,false,tablet,google/cpc
157,157,5/6/2021,223,referral,1008,54.9,true,tablet,facebook/referral
158,158,6/24/2021,918,organic,426,36.66,true,tablet,direct/none
159,159,7/8/2021,222,direct,671,11.76,true,mobile,facebook/referral
160,160,11/3/2021,800,referral,1890,70.13,true,mobile,facebook/referral
161,161,2/18/2021,293,organic,1238,90.34,false,tablet,google/cpc
162,162,2/13/2021,72,direct,2942,15.25,true,desktop,google/cpc
163,163,7/27/2021,615,direct,2482,77.24,true,desktop,facebook/referral
164,164,10/28/2021,450,direct,697,66.27,true,tablet,direct/none
165,165,11/22/2021,982,organic,1660,33.86,false,desktop,facebook/referral
166,166,4/6/2021,471,referral,3550,81.07,false,mobile,facebook/referral
167,167,1/9/2021,577,direct,2846,11.35,true,mobile,direct/none
168,168,3/18/2021,304,referral,410,63.99,true,tablet,facebook/referral
169,169,7/25/2021,721,direct,1208,33.06,false,mobile,facebook/referral
170,170,7/24/2021,841,organic,288,56.09,true,desktop,direct/none
171,171,1/4/2021,725,direct,131,7.09,false,mobile,direct/none
172,172,10/22/2021,865,referral,804,20.33,false,mobile,google/cpc
173,173,12/13/2021,944,referral,3270,85.11,false,tablet,facebook/referral
174,174,8/2/2021,358,referral,1276,40.16,true,desktop,facebook/referral
175,175,12/11/2021,950,organic,1005,10.76,true,mobile,google/cpc
176,176,1/26/2021,570,referral,3592,62.82,false,desktop,google/cpc
177,177,3/5/2021,969,organic,2214,6.02,false,mobile,google/cpc
178,178,11/24/2021,529,direct,864,13.48,true,desktop,direct/none
179,179,12/26/2021,451,referral,2639,81.12,true,tablet,direct/none
180,180,9/2/2021,109,direct,1350,48.61,false,desktop,direct/none
181,181,12/24/2021,436,referral,574,8.37,true,mobile,facebook/referral
182,182,1/26/2021,249,referral,2328,32.64,true,tablet,facebook/referral
183,183,7/18/2021,533,organic,2543,1.4,true,desktop,facebook/referral
184,184,5/11/2021,207,organic,2185,98.93,true,desktop,direct/none
185,185,1/19/2021,423,organic,1045,67.6,true,mobile,direct/none
186,186,4/30/2021,929,direct,2276,78.77,false,tablet,facebook/referral
187,187,1/7/2021,83,referral,1560,54.5,false,tablet,google/cpc
188,188,2/16/2021,90,organic,580,56.21,true,desktop,google/cpc
189,189,11/30/2021,274,referral,1631,36.47,false,desktop,google/cpc
190,190,7/2/2021,767,referral,2617,37.65,false,desktop,google/cpc
191,191,2/14/2021,342,organic,2242,24.03,true,desktop,google/cpc
192,192,7/13/2021,773,direct,2013,5.39,true,tablet,facebook/referral
193,193,10/10/2021,320,referral,1089,41.97,false,mobile,facebook/referral
194,194,7/17/2021,980,organic,659,68.21,true,mobile,google/cpc
195,195,4/3/2021,957,direct,1073,25.8,false,desktop,direct/none
196,196,10/4/2021,770,organic,2171,9.91,true,desktop,facebook/referral
197,197,10/18/2021,909,referral,1044,84.73,true,mobile,direct/none
198,198,12/3/2021,701,organic,3505,96.86,false,tablet,facebook/referral
199,199,5/10/2021,607,referral,2457,76.19,true,desktop,facebook/referral
200,200,5/10/2021,557,direct,1963,12.5,false,tablet,google/cpc
201,201,11/22/2021,631,organic,2988,99.29,false,mobile,direct/none
202,202,10/23/2021,166,direct,37,44.63,false,desktop,direct/none
203,203,10/2/2021,841,organic,1162,93.09,true,mobile,facebook/referral
204,204,8/5/2021,471,organic,3351,76.65,true,mobile,facebook/referral
205,205,5/23/2021,399,referral,3082,40.53,true,tablet,google/cpc
206,206,4/23/2021,111,direct,1301,88.39,false,desktop,direct/none
207,207,5/24/2021,930,referral,2107,68.36,true,mobile,direct/none
208,208,2/10/2021,730,organic,1553,7.83,true,desktop,google/cpc
209,209,1/2/2021,673,organic,1496,24.75,false,desktop,facebook/referral
210,210,7/29/2021,354,organic,2325,74.47,false,mobile,direct/none
211,211,12/9/2021,687,referral,178,6.41,true,mobile,facebook/referral
212,212,6/21/2021,531,organic,2427,22.79,false,tablet,google/cpc
213,213,7/15/2021,77,direct,1320,36.64,true,tablet,direct/none
214,214,9/21/2021,747,direct,1887,44.71,false,tablet,direct/none
215,215,7/5/2021,921,direct,235,82.56,true,tablet,direct/none
216,216,6/19/2021,513,direct,1997,22.47,true,tablet,google/cpc
217,217,9/9/2021,705,referral,3346,50.08,false,desktop,facebook/referral
218,218,5/23/2021,899,organic,2414,47.54,false,mobile,facebook/referral
219,219,8/23/2021,990,direct,162,53.01,true,desktop,google/cpc
220,220,2/13/2021,360,direct,2822,0.18,true,tablet,direct/none
221,221,1/30/2021,879,referral,738,28.12,true,desktop,facebook/referral
222,222,10/4/2021,539,direct,568,59.7,false,mobile,direct/none
223,223,2/27/2021,591,direct,1875,55.17,true,mobile,google/cpc
224,224,12/15/2021,906,organic,2789,62.01,true,tablet,facebook/referral
225,225,4/13/2021,262,referral,3584,75.28,true,tablet,google/cpc
226,226,11/29/2021,157,referral,2630,15.07,false,desktop,direct/none
227,227,3/16/2021,209,direct,3584,1.49,true,tablet,direct/none
228,228,7/7/2021,515,referral,924,36.08,true,tablet,direct/none
229,229,11/5/2021,670,direct,1249,7.01,true,desktop,facebook/referral
230,230,9/11/2021,133,organic,2731,55.77,true,mobile,facebook/referral
231,231,12/27/2021,809,organic,1808,18.39,true,desktop,google/cpc
232,232,4/21/2021,461,direct,631,33.2,true,tablet,google/cpc
233,233,1/28/2021,45,referral,1221,94.44,false,tablet,google/cpc
234,234,3/18/2021,608,referral,2937,18.38,true,tablet,direct/none
235,235,5/21/2021,394,organic,607,63.99,false,tablet,direct/none
236,236,5/30/2021,877,direct,3133,52.44,true,desktop,facebook/referral
237,237,12/22/2021,976,organic,3223,14.7,true,mobile,direct/none
238,238,4/7/2021,178,referral,3245,0.72,true,mobile,facebook/referral
239,239,8/12/2021,582,direct,2986,79.61,true,desktop,direct/none
240,240,3/21/2021,68,referral,1047,30.45,false,mobile,google/cpc
241,241,2/12/2021,320,referral,1955,97.38,true,desktop,facebook/referral
242,242,7/9/2021,640,direct,3003,6.41,false,tablet,direct/none
243,243,7/25/2021,85,referral,1210,40.03,false,desktop,google/cpc
244,244,7/22/2021,13,organic,927,27.94,true,mobile,direct/none
245,245,2/2/2021,835,referral,3045,6.76,true,tablet,direct/none
246,246,10/11/2021,813,organic,2882,11.52,true,tablet,google/cpc
247,247,10/11/2021,153,organic,975,72.88,false,desktop,facebook/referral
248,248,12/23/2021,795,referral,1980,84.21,true,tablet,direct/none
249,249,4/3/2021,10,organic,3196,74.43,false,desktop,direct/none
250,250,12/29/2021,170,direct,1104,55.07,true,tablet,direct/none
251,251,6/28/2021,228,direct,1587,60.65,true,mobile,direct/none
252,252,1/10/2021,242,direct,882,71.91,true,desktop,google/cpc
253,253,8/2/2021,502,organic,2020,14.7,false,desktop,google/cpc
254,254,5/2/2021,73,organic,3204,40.04,false,mobile,facebook/referral
255,255,12/29/2021,177,direct,2197,16.99,false,mobile,direct/none
256,256,2/12/2021,536,organic,1479,8.33,true,mobile,facebook/referral
257,257,12/21/2021,53,organic,210,27.35,true,tablet,direct/none
258,258,7/14/2021,771,referral,459,77.54,false,mobile,google/cpc
259,259,10/20/2021,596,organic,1156,70.42,false,mobile,direct/none
260,260,1/30/2021,130,organic,1234,96.79,true,desktop,google/cpc
261,261,10/17/2021,711,direct,3260,20.77,true,tablet,facebook/referral
262,262,10/12/2021,417,direct,1879,11.61,false,desktop,facebook/referral
263,263,3/22/2021,836,referral,2866,43.51,false,desktop,facebook/referral
264,264,9/9/2021,502,organic,317,19.65,false,tablet,google/cpc
265,265,2/10/2021,94,referral,3565,78.73,true,tablet,direct/none
266,266,7/1/2021,247,referral,1446,27.3,true,tablet,google/cpc
267,267,2/11/2021,716,organic,252,35.03,true,mobile,direct/none
268,268,12/14/2021,891,organic,1018,3.38,false,mobile,google/cpc
269,269,11/12/2021,107,organic,917,53.62,true,mobile,direct/none
270,270,2/6/2021,314,organic,1668,26.37,false,desktop,google/cpc
271,271,11/28/2021,302,organic,636,68.26,false,mobile,facebook/referral
272,272,1/13/2021,758,direct,3335,54.36,true,tablet,google/cpc
273,273,1/21/2021,585,referral,96,19.01,false,tablet,direct/none
274,274,4/11/2021,871,direct,2588,29.21,true,tablet,facebook/referral
275,275,10/31/2021,219,direct,991,60.24,false,mobile,facebook/referral
276,276,4/14/2021,47,organic,2065,51.48,true,desktop,google/cpc
277,277,11/29/2021,775,organic,3469,20.03,false,mobile,google/cpc
278,278,4/2/2021,600,direct,755,51.65,false,desktop,facebook/referral
279,279,7/5/2021,178,organic,1567,20.95,false,desktop,direct/none
280,280,2/5/2021,66,referral,2167,40.46,false,desktop,direct/none
281,281,2/15/2021,315,referral,3304,8.7,true,mobile,google/cpc
282,282,6/28/2021,433,organic,1714,54.91,false,tablet,facebook/referral
283,283,6/17/2021,47,organic,1413,17.31,true,desktop,facebook/referral
284,284,11/21/2021,241,referral,753,21.29,false,mobile,google/cpc
285,285,3/8/2021,870,organic,1162,67.2,false,desktop,google/cpc
286,286,9/10/2021,756,organic,1429,30.14,false,mobile,google/cpc
287,287,12/13/2021,43,organic,2804,57.28,true,mobile,direct/none
288,288,10/16/2021,20,direct,955,23.85,true,tablet,google/cpc
289,289,7/21/2021,900,referral,741,52.51,true,tablet,facebook/referral
290,290,1/8/2021,915,referral,2301,99.14,false,desktop,facebook/referral
291,291,11/26/2021,441,direct,1846,16.72,false,mobile,direct/none
292,292,1/18/2021,334,direct,1969,86.45,true,tablet,facebook/referral
293,293,2/3/2021,13,organic,1402,52.69,true,tablet,google/cpc
294,294,12/3/2021,944,referral,3544,97.74,true,desktop,direct/none
295,295,3/29/2021,49,organic,1786,41.03,false,tablet,direct/none
296,296,12/24/2021,471,organic,3236,19.67,true,desktop,facebook/referral
297,297,11/13/2021,552,organic,3596,83.39,true,tablet,direct/none
298,298,1/15/2021,436,direct,2064,2.43,false,desktop,google/cpc
299,299,8/2/2021,459,direct,1619,77.64,true,tablet,direct/none
300,300,12/12/2021,558,organic,1240,15.39,true,desktop,facebook/referral
301,301,8/25/2021,977,referral,1297,83.4,true,desktop,facebook/referral
302,302,2/4/2021,58,referral,2749,99.88,false,desktop,facebook/referral
303,303,6/29/2021,460,referral,1025,0.3,true,tablet,google/cpc
304,304,1/2/2021,670,direct,1662,3.14,true,desktop,facebook/referral
305,305,11/8/2021,921,referral,1727,4.88,false,tablet,direct/none
306,306,1/22/2021,972,direct,3054,95.26,true,desktop,direct/none
307,307,5/5/2021,640,referral,2251,27.36,true,desktop,direct/none
308,308,7/23/2021,582,referral,3384,40.07,false,mobile,google/cpc
309,309,2/19/2021,877,organic,1898,44.16,true,desktop,facebook/referral
310,310,5/5/2021,789,organic,319,0.14,true,desktop,facebook/referral
311,311,10/4/2021,919,organic,1378,59.49,false,tablet,google/cpc
312,312,8/13/2021,998,organic,3455,7.96,true,mobile,direct/none
313,313,7/11/2021,189,direct,160,89.5,true,tablet,google/cpc
314,314,7/27/2021,923,organic,3578,84.06,true,tablet,google/cpc
315,315,11/27/2021,352,direct,2059,50.82,false,mobile,facebook/referral
316,316,11/21/2021,35,organic,9,58.17,false,tablet,google/cpc
317,317,11/19/2021,36,organic,597,81.55,true,tablet,google/cpc
318,318,7/21/2021,943,referral,2488,3.25,true,tablet,facebook/referral
319,319,4/1/2021,351,referral,2299,84.65,true,tablet,google/cpc
320,320,7/28/2021,104,organic,2625,52.57,false,desktop,google/cpc
321,321,2/7/2021,355,referral,2976,1.66,false,tablet,facebook/referral
322,322,8/17/2021,529,referral,280,36.37,false,mobile,google/cpc
323,323,5/7/2021,501,direct,3123,25.08,true,mobile,facebook/referral
324,324,9/16/2021,396,direct,3030,61.77,true,tablet,facebook/referral
325,325,4/8/2021,745,referral,434,64.86,true,mobile,google/cpc
326,326,7/5/2021,802,referral,3588,21.68,false,tablet,facebook/referral
327,327,5/29/2021,429,direct,259,16.33,false,desktop,direct/none
328,328,8/29/2021,662,organic,2170,47.72,true,desktop,direct/none
329,329,9/24/2021,75,referral,1748,28.25,true,tablet,google/cpc
330,330,1/5/2021,545,organic,1556,22.04,true,desktop,google/cpc
331,331,11/15/2021,167,organic,3276,26.79,false,mobile,direct/none
332,332,5/13/2021,566,organic,472,93.86,false,desktop,facebook/referral
333,333,11/13/2021,319,direct,1729,90.1,false,tablet,direct/none
334,334,2/8/2021,564,organic,685,97.17,false,desktop,google/cpc
335,335,12/14/2021,8,direct,3280,43.38,false,mobile,direct/none
336,336,1/30/2021,624,organic,3423,52.97,true,mobile,facebook/referral
337,337,2/16/2021,61,referral,1563,82.07,true,desktop,facebook/referral
338,338,7/22/2021,321,direct,576,87.34,true,desktop,facebook/referral
339,339,7/21/2021,28,organic,207,45.37,false,tablet,direct/none
340,340,7/7/2021,483,referral,1393,44.66,true,mobile,facebook/referral
341,341,9/12/2021,88,direct,386,26.4,false,desktop,direct/none
342,342,4/12/2021,979,organic,3509,34.34,false,tablet,direct/none
343,343,12/25/2021,239,referral,1974,35.83,false,mobile,google/cpc
344,344,11/18/2021,651,referral,3469,84.87,false,tablet,facebook/referral
345,345,11/19/2021,766,direct,2208,1.82,true,mobile,direct/none
346,346,7/21/2021,463,organic,3076,82.98,false,mobile,google/cpc
347,347,5/2/2021,28,referral,1609,34.47,false,tablet,google/cpc
348,348,5/16/2021,491,direct,1291,27.53,false,mobile,direct/none
349,349,4/15/2021,852,referral,420,61.68,true,desktop,direct/none
350,350,2/23/2021,85,referral,2965,66.2,false,mobile,google/cpc
351,351,7/15/2021,589,referral,2791,24.14,true,tablet,direct/none
352,352,5/10/2021,717,referral,3124,52.22,true,desktop,facebook/referral
353,353,9/15/2021,305,direct,2152,38.65,true,mobile,facebook/referral
354,354,9/15/2021,258,referral,2487,19.23,false,mobile,direct/none
355,355,7/24/2021,281,organic,2054,77.92,true,mobile,google/cpc
356,356,3/17/2021,793,direct,1704,86.23,false,tablet,direct/none
357,357,7/25/2021,243,organic,2864,15.24,false,mobile,direct/none
358,358,2/22/2021,459,organic,3435,92.64,true,desktop,direct/none
359,359,6/16/2021,126,referral,3512,51.66,true,mobile,google/cpc
360,360,6/17/2021,393,referral,2954,81.38,true,tablet,facebook/referral
361,361,6/10/2021,161,referral,2136,55.2,false,tablet,google/cpc
362,362,7/7/2021,212,direct,3270,99.0,false,desktop,facebook/referral
363,363,7/16/2021,666,referral,1946,65.52,false,mobile,google/cpc
364,364,1/10/2021,970,direct,3297,95.13,false,tablet,direct/none
365,365,3/7/2021,113,direct,1081,17.31,false,mobile,facebook/referral
366,366,2/5/2021,331,referral,1457,5.21,true,desktop,facebook/referral
367,367,9/13/2021,902,organic,1913,66.97,true,tablet,google/cpc
368,368,5/27/2021,770,referral,176,83.55,false,tablet,google/cpc
369,369,7/14/2021,216,direct,1988,98.31,true,mobile,direct/none
370,370,2/27/2021,871,direct,3390,0.91,false,mobile,facebook/referral
371,371,3/12/2021,433,organic,2,2.14,false,mobile,facebook/referral
372,372,4/8/2021,948,organic,3210,44.2,true,tablet,direct/none
373,373,8/22/2021,29,organic,1569,39.01,true,desktop,direct/none
374,374,9/10/2021,547,organic,3564,59.53,false,tablet,direct/none
375,375,5/24/2021,66,direct,334,53.32,false,desktop,google/cpc
376,376,11/11/2021,946,referral,3450,5.47,false,tablet,facebook/referral
377,377,4/19/2021,783,organic,3106,84.82,false,tablet,direct/none
378,378,5/28/2021,949,referral,257,38.95,true,desktop,facebook/referral
379,379,4/12/2021,437,organic,3115,68.32,false,desktop,facebook/referral
380,380,2/8/2021,455,direct,2653,85.79,true,desktop,google/cpc
381,381,3/31/2021,953,referral,939,0.04,true,desktop,google/cpc
382,382,5/25/2021,295,direct,556,87.44,true,mobile,google/cpc
383,383,2/11/2021,508,referral,1278,77.08,true,tablet,google/cpc
384,384,4/14/2021,653,direct,2100,23.37,false,tablet,google/cpc
385,385,3/21/2021,979,direct,1178,18.32,true,mobile,google/cpc
386,386,1/13/2021,903,direct,926,41.02,true,tablet,direct/none
387,387,9/26/2021,619,referral,2806,41.63,false,mobile,direct/none
388,388,1/12/2021,127,referral,2712,17.96,true,mobile,facebook/referral
389,389,9/19/2021,282,direct,1813,99.76,true,desktop,direct/none
390,390,12/15/2021,851,direct,2221,33.42,true,tablet,facebook/referral
391,391,11/18/2021,907,referral,861,40.69,true,desktop,facebook/referral
392,392,10/11/2021,447,referral,86,92.33,true,tablet,facebook/referral
393,393,2/1/2021,473,referral,2690,96.75,false,tablet,google/cpc
394,394,3/13/2021,458,referral,2705,97.82,false,desktop,direct/none
395,395,4/10/2021,915,referral,122,34.79,true,desktop,google/cpc
396,396,2/4/2021,382,referral,2927,29.56,true,mobile,facebook/referral
397,397,11/10/2021,981,referral,2492,22.83,true,tablet,direct/none
398,398,9/14/2021,737,organic,1549,60.54,true,tablet,google/cpc
399,399,1/17/2021,77,referral,572,52.44,false,mobile,direct/none
400,400,4/29/2021,818,organic,330,72.15,false,tablet,direct/none
